tag_name,event_name,marketing_category,marketing_action,marketing_label,triggers,triggerId,name,type,filter
GA4 | marketing_interaction | advisor online | starts,marketing_interaction,retirement_advice-advisor_online,funnel_progress,starts,1210,1210,RA advisor starts,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:RA:YourRetirementProfile:YourHousehold'}]}]"
GA4 | marketing_interaction | advisor online | pre-starts,marketing_interaction,retirement_advice-advisor_online,funnel_progress,pre_starts,1205,1205,RA advisor pre-start,PAGEVIEW,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:RA:_PG_LessThan54Splash|MyTIAA:RA:GreaterThan54Splash'}]}]"
GA4 | marketing_interaction | advisor online | implementation confirmation,marketing_interaction,retirement_advice-advisor_online,funnel_progress,implementation_confirmations,1226,1226,RA advisor implementation confirmation,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:RPPM:ThankYouYourProfileIsUpdated'}]}]"
GA4 | marketing_interaction | RII | pre-start,marketing_interaction,retirement_advice-rii,funnel_progress,pre_starts,1228,1228,RA RII pre start,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:Advisor:_PG_RII_GetStarted'}]}]"
GA4 | marketing_interaction | RII | start,marketing_interaction,retirement_advice-rii,funnel_progress,starts,1232,1232,RA RII show projection,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:Advisor:_PG_RII_ShowProjection'}]}]"
GA4 | marketing_interaction | RII | completes,marketing_interaction,retirement_advice-rii,funnel_progress,completes,1231,1231,RA RII income choices,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:Advisor:_PG_RII_IncomeChoices'}]}]"
GA4 | marketing_interaction | EA enrollment | pre-start,marketing_interaction,retirement_advice-ea_enrollment,funnel_progress,pre_starts,1250,1250,RA EA enrollment get started,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpress:_PG_ChooseInvestments_GetStarted'}]}]"
GA4 | marketing_interaction | EA enrollment | start,marketing_interaction,retirement_advice-ea_enrollment,funnel_progress,starts,1252,1252,RA EA enrollment your situation,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpress:_PG_ChooseInvestments_WhatsYourFinancialSituation'}]}]"
GA4 | marketing_interaction | EA enrollment | implementation confirmation,marketing_interaction,retirement_advice-ea_enrollment,funnel_progress,implementation_confirmations,1264,1264,RA EA enrollment confirm,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpress:_PG_ChooseInvestments_DoesEverythingLookRight'}]}]"
GA4 | marketing_interaction | EA enrollment | completes,marketing_interaction,retirement_advice-ea_enrollment,funnel_progress,completes,1260,1260,RA EA enrollment strat rec,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpress:_PG_ChooseInvestments_RecommendedStrategy'}]}]"
GA4 | marketing_interaction | EA post-enrollment | pre-starts,marketing_interaction,retirement_advice-ea_post_enrollment,funnel_progress,pre_starts,1266,1266,RA EA advice choose strat,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpressNEHP:_PG_AdviceToChooseAnInvestmentStrategy'}]}]"
GA4 | marketing_interaction | EA post-enrollment | starts,marketing_interaction,retirement_advice-ea_post_enrollment,funnel_progress,starts,1268,1268,RA EA advice your job,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpressNEHP:_PG_ChooseInvestments_LetsTalkAboutYourJob'}]}]"
GA4 | marketing_interaction | EA post-enrollment | implementation confirmation,marketing_interaction,retirement_advice-ea_post_enrollment,funnel_progress,implementation_confirmations,1282,1282,RA EA advice confirm,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpressNEHP:_PG_ChooseInvestments_DoesEverythingLookRight'}]}]"
GA4 | marketing_interaction | EA post-enrollment | completes,marketing_interaction,retirement_advice-ea_post_enrollment,funnel_progress,completes,1278,1278,RA EA advice strat rec,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:AdviceExpressNEHP:_PG_ChooseInvestments_RecommendedStrategy'}]}]"
GA4 | marketing_interaction | Annuity estimator | pre-start,marketing_interaction,retirement_advice-annuity_estimator,funnel_progress,pre-starts,1234,1234,RA AE prestart,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:_PG_TIAARetirementCalculatorAndTools'}]}]"
GA4 | marketing_interaction | Annuity estimator | start,marketing_interaction,retirement_advice-annuity_estimator,funnel_progress,starts,1236,1236,RA AE start,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:PG_TIAARetirementCalculatorChooseAPath'}]}]"
GA4 | marketing_interaction | Annuity estimator | completes,marketing_interaction,retirement_advice-annuity_estimator,funnel_progress,completes,1248,1248,RA AE income results,PAGEVIEW,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:_PG_TIAARetirementCalculatorResults'}]}]"
GA4 | marketing_interaction | advisor offline | login to schedule,marketing_interaction,retirement_advice-advisor_offline,funnel_progress,login_to_schedule_clicks,1285,1285,RA AA login click,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:2008194394:PG:scheduleMeeting'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Log in'}]}]"
GA4 | marketing_interaction | retire inequality - paper right | pre-save or listen-now click,marketing_interaction,retire_inequality-paper_right,click,pre_save-listen_now,1092,1092,Click | PaperRight | Pre-Save / Listen Now,LINK_CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'pre-save|listen'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': '/paperright|/paper-right|/'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | retire inequality - paper right | social click,marketing_interaction,retire_inequality-paper_right,click,social,1093,1093,Click | PaperRight | Social,LINK_CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': '/paperright|/paper-right'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'facebook.com|instagram.com|twitter.com|youtube.com|linkedin.com'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | retire inequality - paper right | listen on streaming platform click,marketing_interaction,retire_inequality-paper_right,click,listen_on_streaming_platform,1288,1288,Click | PaperRight | Listen on Streaming Platform,LINK_CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': '/paperright|/paper-right'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'spotify.com|music.youtube.com|music.apple.com|music.amazon.com'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | retire inequality - paper right | get on track CTA click,marketing_interaction,retire_inequality-paper_right,click,get_on_track_cta,1310,1310,Click | PaperRight | Get On Track CTA,LINK_CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': '/paperright|/paper-right'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': '/getontrack'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | NYNP | contact us intro clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,contact_us-intro,1353,1353,NYNP contact us intro clicks,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Contact us'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}, {'type': 'EQUALS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Classes}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'link qui-link'}]}]"
GA4 | marketing_interaction | NYNP | explore lifetime income clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,explore_lifetime_income,1355,1355,NYNP explore lifetime income clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Explore lifetime income'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | NYNP | rethink your plans default clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,rethink_your_plans_default,1357,1357,NYNP rethink your plans default clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Rethink your planâ€™s default'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | NYNP | lets talk CITs clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,lets_talk_cits,1359,1359,NYNP lets talk CITs clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': ""Let's talk CITs""}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
